#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-25T18:20:19 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-25T18:20:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/476/875/tablea1&-out=GASS,SDSS,zSDSS,logM*,R50z,R50r,R90r,logSuBr,extr,rmag,(b/a)r,incl,NUV-r,SFR&-out.max=5000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74760875
#Name: J/MNRAS/476/875
#Title: xGASS catalog (Catinella+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/476/875	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/476/875	    IVOID of underlying data collection
#INFO	creator=Catinella B.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.476..875C	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/476/875	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74760875	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_476_875_tablea1:
#Name: J/MNRAS/476/875/tablea1
#Title: SDSS and UV parameters of GASS-low galaxies
#Column	GASS	(I6)	GASS identifier	[ucd=meta.id;meta.main]
#Column	SDSS	(A19)	SDSS identifier	[ucd=meta.id]
#Column	zSDSS	(F7.4)	SDSS redshift	[ucd=src.redshift;pos.heliocentric]
#Column	logM*	(F5.2)	log10 Stellar mass	[ucd=phys.mass]
#Column	R50z	(F5.2)	Radius containing 50 per cent of the Petrosian flux in z band	[ucd=phys.angSize;src]
#Column	R50r	(F5.2)	Radius containing 50 per cent of the Petrosian flux in r band	[ucd=phys.angSize;src]
#Column	R90r	(F5.2)	Radius containing 90 per cent of the Petrosian flux in r band	[ucd=phys.angSize;src]
#Column	logSuBr	(F5.2)	log10 stellar mass surface density	[ucd=phys.density]
#Column	extr	(F5.2)	Galactic extinction in r band from SDSS	[ucd=phys.absorption]
#Column	rmag	(F5.2)	r-band model magnitude from SDSS, corrected for Galactic extinction	[ucd=phot.mag;em.opt.R]
#Column	(b/a)r	(F6.3)	Minor-to-major axial ratio from the exponential fit in r band, from SDSS	[ucd=phys.angSize;arith.ratio]
#Column	incl	(I2)	Inclination to the line of sight	[ucd=src.orbital.inclination;spect.line]
#Column	NUV-r	(F5.2)	? NUV-r observed colour, corrected for Galactic extinction	[ucd=phot.color;em.UV;em.opt]
#Column	SFR	(F6.3)	? Star formation rate from NUV and WISE photometry	[ucd=phys.SFR]
GASS	SDSS	zSDSS	logM*	R50z	R50r	R90r	logSuBr	extr	rmag	(b/a)r	incl	NUV-r	SFR
 	 	 	[Msun]	arcsec	arcsec	arcsec	[Msun/kpc+2]	mag	mag	 	deg	mag	Msun/yr
------	-------------------	-------	-----	-----	-----	-----	-----	-----	-----	------	--	-----	------
124009	J000619.61+141938.7	 0.0182	 9.66	 3.52	 3.82	11.17	 8.63	 0.31	15.47	 0.394	70	 5.27	 0.078
124012	J000629.29+141056.5	 0.0178	 9.74	 6.03	 6.72	16.28	 8.27	 0.34	15.79	 0.144	90	 4.26	 0.162
124006	J001947.33+003526.8	 0.0177	 9.75	 3.47	 3.36	10.58	 8.76	 0.07	14.75	 0.753	42	 3.82	 0.539
124004	J002534.40+005048.6	 0.0178	 9.31	 5.35	 6.11	11.54	 7.93	 0.06	15.32	 0.917	24	 2.21	 0.326
124002	J004903.69+152907.9	 0.0183	 9.25	 2.60	 2.57	 6.02	 8.48	 0.17	15.72	 0.479	64	 2.33	 0.209
101021	J011653.58+000911.2	 0.0190	 9.22	 4.22	 5.03	11.03	 8.00	 0.09	15.49	 0.686	48	 2.21	 0.276
101031	J014755.16+124131.0	 0.0175	 9.17	 5.51	 6.56	14.74	 7.79	 0.17	15.56	 0.492	63	 2.41	 0.154
101030	J014803.60+125604.6	 0.0175	 9.10	 7.06	 8.85	17.38	 7.50	 0.18	15.99	 0.659	50	 2.90	 0.061
101000	J014853.12+132526.2	 0.0155	 9.41	 4.28	 3.99	12.06	 8.35	 0.18	15.86	 0.787	39	 4.91	 0.096
101012	J014902.52+125539.0	 0.0174	 9.83	 3.77	 4.01	 9.92	 8.78	 0.22	15.06	 0.642	52	 5.17	 0.027
101024	J014917.63+132759.9	 0.0166	 9.28	 3.81	 4.18	 9.82	 8.26	 0.21	16.17	 0.735	44	 5.57	 0.067
101016	J014918.93+130252.0	 0.0178	 9.72	 2.53	 2.74	 6.50	 8.99	 0.24	15.53	 0.845	33	 5.51	 0.007
101019	J014920.31+131754.5	 0.0171	 9.06	 4.78	 4.57	11.24	 7.83	 0.21	16.68	 0.673	49	 3.92	 0.092
101011	J014933.52+131400.0	 0.0167	 9.95	 4.66	 4.96	14.21	 8.75	 0.20	14.84	 0.768	41	 5.92	 0.013
101017	J014953.83+125833.7	 0.0156	 9.35	 2.92	 2.94	 8.24	 8.62	 0.24	16.01	 0.657	50	 5.22	 0.009
101008	J014954.10+130735.9	 0.0170	 9.34	 3.21	 3.65	 9.59	 8.45	 0.19	16.15	 0.760	42	 5.55	 0.015
101010	J015015.67+130826.8	 0.0161	 9.17	 1.94	 2.13	 5.31	 8.77	 0.20	16.86	 0.888	28	 4.30	 0.027
101001	J015032.27+133942.2	 0.0174	 9.08	 6.29	 6.76	16.15	 7.59	 0.22	16.50	 0.200	90	 2.54	 0.079
101018	J015036.88+130636.8	 0.0165	 9.25	 5.14	 4.78	12.77	 7.98	 0.20	15.90	 0.933	22	 3.40	 0.082
107019	J074842.59+263223.2	 0.0155	 9.16	 2.25	 2.42	 7.62	 8.66	 0.09	16.16	 0.764	41	 3.46	 0.060
107026	J075433.01+294238.8	 0.0167	 9.37	 7.67	 8.57	18.95	 7.74	 0.11	15.02	 0.346	73	 1.89	 0.384
