#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-25T18:20:20 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-25T18:20:20	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/476/875/tablea2&-out=GASS,W50,W50c,FHI,logMHI,logMHI/M*,q&-out.max=5000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74760875
#Name: J/MNRAS/476/875
#Title: xGASS catalog (Catinella+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/476/875	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/476/875	    IVOID of underlying data collection
#INFO	creator=Catinella B.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.476..875C	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/476/875	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74760875	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_476_875_tablea2:
#Name: J/MNRAS/476/875/tablea2
#Title: HI Properties of GASS-low detections
#Column	GASS	(I6)	GASS identifier	[ucd=meta.id;meta.main]
#Column	W50	(I3)	Observed velocity width of the source line profile, measured at the 50 per cent level of each peak	[ucd=spect.line.width]
#Column	W50c	(I3)	Velocity width corrected for instrumental broadening and cosmological redshift only	[ucd=spect.line.width]
#Column	FHI	(F5.2)	Integrated HI-line flux density	[ucd=phot.flux.density]
#Column	logMHI	(F5.2)	log10 HI mass	[ucd=phys.mass]
#Column	logMHI/M*	(F5.2)	log10 HI mass fraction	[ucd=phys.mass;arith.ratio]
#Column	q	(I1)	[1/5] Quality flag (1)	[ucd=meta.code.qual]
GASS	W50	W50c	FHI	logMHI	logMHI/M*	q
 	km/s	km/s	Jy.km/s	[Msun]	[-]	
------	---	---	-----	-----	-----	-
124012	267	256	 0.65	 8.94	-0.81	1
124004	130	122	 0.71	 8.99	-0.32	1
124002	205	195	 0.67	 8.98	-0.26	1
101021	180	170	 0.93	 9.15	-0.06	1
101031	173	164	 0.86	 9.05	-0.12	1
101030	 44	 39	 0.42	 8.74	-0.36	1
101000	115	107	 0.09	 8.01	-1.40	1
101016	207	196	 0.40	 8.70	-1.01	5
101001	202	193	 1.10	 9.15	 0.07	1
101018	 69	 62	 0.07	 7.94	-1.31	1
107019	172	164	 0.22	 8.35	-0.81	1
107026	223	215	 3.58	 9.63	 0.26	1
108143	101	 94	 0.26	 8.45	-0.68	1
108136	212	203	 0.28	 8.35	-1.12	1
108145	 91	 82	 0.10	 7.90	-1.26	2
108078	157	148	 0.18	 8.26	-0.76	1
108011	 80	 74	 0.34	 8.54	-0.50	1
108014	233	225	 5.67	 9.67	-0.41	5
108019	101	 92	 0.12	 8.10	-1.26	5
108049	121	113	 0.56	 8.70	-0.71	1
108029	 96	 92	12.60	10.01	 0.39	5
108129	223	214	 2.34	 9.49	 0.02	1
108147	127	118	 1.16	 9.29	-0.35	1
108044	243	233	 0.59	 8.96	-0.08	1
108113	259	248	 1.60	 9.43	-0.44	1
108142	208	198	 1.68	 9.42	-0.20	1
108097	110	102	 0.15	 8.12	-1.22	1
108024	474	460	 2.27	 9.37	-0.08	5
108093	223	212	 0.88	 9.03	-0.91	1
108140	194	185	 0.85	 9.10	 0.08	1
108021	190	181	 0.62	 8.90	-0.73	1
108051	 56	 49	 0.18	 8.18	-0.93	1
108017	284	273	 0.68	 9.01	-0.90	1
109129	330	317	 1.42	 9.36	 0.13	5
109038	172	164	 1.88	 9.04	-0.17	1
109101	166	158	 2.23	 9.02	 0.01	1
109083	148	140	 0.48	 8.84	-0.97	1
109066	254	244	 2.39	 9.36	-0.63	1
109009	151	142	 0.33	 8.67	-0.70	1
109134	253	241	 0.41	 8.69	-0.74	1
109021	205	196	 0.16	 8.38	-1.17	1
109099	 63	 56	 0.10	 8.08	-0.94	1
109102	251	246	 9.65	 9.76	 0.38	1
109020	228	220	 0.71	 8.61	-0.93	1
109126	 56	 49	 0.24	 8.25	-0.89	1
109103	226	216	 0.44	 8.83	-0.63	1
109072	252	243	 2.74	 9.62	-0.06	1
109108	236	227	 0.72	 8.51	-1.10	1
109077	257	246	 0.54	 8.87	-0.64	1
109120	165	157	 0.69	 8.70	-0.42	1
109058	281	272	 3.03	 9.53	-0.38	1
109106	173	165	 0.43	 8.69	-0.96	1
109094	180	171	 0.70	 8.94	-0.32	1
109079	182	173	 0.55	 8.70	-0.51	1
109034	182	173	 0.14	 8.27	-0.94	1
109135	 78	 70	 0.30	 8.59	-0.54	1
110038	240	233	 3.37	 9.60	-0.39	1
110013	243	233	 0.83	 9.04	-0.67	1
110058	170	162	 1.45	 9.32	 0.27	5
110080	205	196	 1.58	 9.15	-0.05	1
110056	113	105	 0.08	 8.00	-1.01	1
110019	 87	 79	 0.06	 7.91	-1.11	2
110057	460	446	 2.11	 9.41	 0.05	5
110055	178	168	 0.49	 8.87	-0.23	1
110017	166	158	 1.92	 9.25	-0.60	1
110059	218	209	 1.74	 9.43	 0.01	1
110054	127	119	 0.39	 8.81	-0.94	1
111053	 89	 80	 0.04	 7.88	-1.41	2
111093	 93	 85	 2.62	 9.64	 0.36	1
111030	237	227	 0.71	 8.77	-1.31	1
111086	168	160	 0.60	 8.70	-0.94	5
111080	236	228	 1.39	 8.92	-1.10	1
111047	145	136	 1.15	 9.23	 0.07	1
111088	232	223	 2.76	 9.13	-0.18	1
111004	221	213	 1.76	 8.99	-1.06	5
111063	117	109	 0.09	 7.90	-1.71	2
112068	151	143	 0.22	 8.44	-1.24	1
112014	 42	 39	 1.10	 9.27	-0.31	5
112100	 90	 82	 0.57	 8.95	-0.19	1
112112	288	278	 3.37	 9.68	-0.23	1
112080	402	389	 4.64	 9.69	-0.26	5
112054	292	281	 0.25	 8.51	-1.13	1
112050	154	148	 2.59	 9.35	-0.06	1
112116	117	110	 0.24	 8.44	-0.68	1
112035	 68	 59	 0.15	 8.33	-1.34	1
113098	306	294	 0.50	 8.93	-0.93	1
113110	226	216	 0.58	 8.93	-0.57	1
113056	176	166	 0.16	 8.02	-1.58	1
113115	266	255	 0.90	 9.04	-0.66	1
113124	189	180	 1.86	 9.41	 0.00	1
113024	169	162	 0.59	 8.84	-1.00	1
113038	304	293	 3.20	 9.67	-0.46	1
113118	109	101	 0.73	 8.90	-0.22	1
113005	121	113	 0.26	 8.55	-0.62	1
113091	214	206	 2.85	 9.57	 0.41	1
113133	180	169	 0.57	 8.93	-0.38	1
113010	276	267	 0.74	 8.53	-1.45	1
113105	199	190	 1.25	 9.20	 0.07	1
113123	150	142	 0.44	 8.75	-0.32	1
113122	185	175	 0.51	 8.76	-1.13	1
113011	204	195	 1.10	 9.16	 0.06	1
114141	220	212	 5.75	 9.72	 0.27	1
114001	331	319	 0.61	 8.74	-1.38	1
114104	 90	 83	 0.09	 7.99	-1.14	1
114044	217	208	 1.34	 9.19	-0.83	1
114047	236	225	 1.47	 9.32	 0.24	5
114075	 59	 51	 0.08	 8.01	-1.22	1
114115	225	215	 2.04	 9.43	-0.22	1
114110	461	447	 8.13	10.13	 0.10	5
114033	207	200	 6.45	 9.93	 0.01	5
114127	289	277	 0.47	 8.78	-0.75	1
114091	 57	 50	 0.10	 7.97	-1.09	1
114085	169	160	 0.44	 8.71	-0.60	1
114077	143	135	 0.16	 8.27	-0.92	1
114076	188	179	 0.47	 8.72	-0.46	1
114005	122	114	 0.44	 8.64	-0.78	5
114144	265	255	 0.55	 8.64	-1.22	1
114010	258	249	 0.29	 8.42	-1.29	1
122001	424	410	 0.90	 9.07	-1.10	1
122002	255	245	 1.70	 9.34	-0.13	1

