z,observable,value,sigma
0.295,DV_over_rd,7.94167639,0.07609853
0.510,DM_over_rd,13.58758434,0.16837568
0.510,DH_over_rd,21.86294686,0.42887995
0.706,DM_over_rd,17.35069094,0.17992568
0.706,DH_over_rd,19.45534918,0.33389049
0.934,DM_over_rd,21.57563956,0.16178776
0.934,DH_over_rd,17.64149464,0.20104325
1.321,DM_over_rd,27.60085612,0.32456358
1.321,DH_over_rd,14.17602155,0.22455751
1.484,DM_over_rd,30.51190063,0.76357729
1.484,DH_over_rd,12.81699964,0.51810828
2.330,DH_over_rd,8.63154567,0.10106245
2.330,DM_over_rd,38.98897396,0.53168197
