z,s_hat,chi
0.00100000,-0.0025743108,2.5729532596
0.00129993,-0.0033460166,2.5726403526
0.00159986,-0.0041175348,2.5720147131
0.00189979,-0.0048888653,2.5713894224
0.00219972,-0.0056600084,2.5707644802
0.00249965,-0.0064309641,2.5701398863
0.00279958,-0.0072017325,2.5695156404
0.00309951,-0.0079723137,2.5688917421
0.00339944,-0.0087427078,2.5682681913
0.00369937,-0.0095129150,2.5676449877
0.00399930,-0.0102829353,2.5670221310
0.00429923,-0.0110527689,2.5663996209
0.00459916,-0.0118224158,2.5657774571
0.00489909,-0.0125918761,2.5651556394
0.00519902,-0.0133611500,2.5645341675
0.00549895,-0.0141302375,2.5639130412
0.00579888,-0.0148991388,2.5632922601
0.00609881,-0.0156678540,2.5626718241
0.00639874,-0.0164363831,2.5620517327
0.00669867,-0.0172047263,2.5614319858
0.00699860,-0.0179728837,2.5608125831
0.00729853,-0.0187408553,2.5601935243
0.00759846,-0.0195086413,2.5595748092
0.00789839,-0.0202762418,2.5589564375
0.00819832,-0.0210436569,2.5583384088
0.00849825,-0.0218108867,2.5577207231
0.00879818,-0.0225779312,2.5571033799
0.00909811,-0.0233447907,2.5564863790
0.00939804,-0.0241114651,2.5558697202
0.00969797,-0.0248779546,2.5552534031
0.00999790,-0.0256442594,2.5546374276
0.01029783,-0.0264103794,2.5540217933
0.01059776,-0.0271763149,2.5534065001
0.01089769,-0.0279420658,2.5527915475
0.01119762,-0.0287076324,2.5521769354
0.01149755,-0.0294730146,2.5515626635
0.01179748,-0.0302382127,2.5509487315
0.01209741,-0.0310032267,2.5503351392
0.01239734,-0.0317680567,2.5497218863
0.01269727,-0.0325327028,2.5491089725
0.01299720,-0.0332971652,2.5484963976
0.01329713,-0.0340614438,2.5478841614
0.01359706,-0.0348255389,2.5472722634
0.01389699,-0.0355894505,2.5466607036
0.01419692,-0.0363531788,2.5460494816
0.01449685,-0.0371167238,2.5454385972
0.01479678,-0.0378800855,2.5448280500
0.01509671,-0.0386432643,2.5442178400
0.01539664,-0.0394062600,2.5436079667
0.01569657,-0.0401690729,2.5429984299
0.01599650,-0.0409317030,2.5423936465
0.01629643,-0.0416941505,2.5417803580
0.01659636,-0.0424564154,2.5411718293
0.01689629,-0.0432184978,2.5405636360
0.01719622,-0.0439803978,2.5399557780
0.01749615,-0.0447421156,2.5393482550
0.01779608,-0.0455036512,2.5387410666
0.01809601,-0.0462650048,2.5381342127
0.01839594,-0.0470261764,2.5375276931
0.01869587,-0.0477871661,2.5369215073
0.01899580,-0.0485479741,2.5363156553
0.01929573,-0.0493086004,2.5357101367
0.01959566,-0.0500690452,2.5351049512
0.01989559,-0.0508293084,2.5345000987
0.02019552,-0.0515893904,2.5338955788
0.02049545,-0.0523492910,2.5332913914
0.02079538,-0.0531090105,2.5326875360
0.02109531,-0.0538685489,2.5320840126
0.02139524,-0.0546279064,2.5314808208
0.02169517,-0.0553870830,2.5308779605
0.02199510,-0.0561460788,2.5302754312
0.02229503,-0.0569048940,2.5296732328
0.02259496,-0.0576635286,2.5290713651
0.02289489,-0.0584219827,2.5284698277
0.02319482,-0.0591802564,2.5278686205
0.02349475,-0.0599383499,2.5272677431
0.02379468,-0.0606962632,2.5266671953
0.02409461,-0.0614539965,2.5260669769
0.02439454,-0.0622115497,2.5254670876
0.02469447,-0.0629689231,2.5248675272
0.02499440,-0.0637261167,2.5242682954
0.02529433,-0.0644831307,2.5236693919
0.02559426,-0.0652399650,2.5230708166
0.02589419,-0.0659966199,2.5224725691
0.02619412,-0.0667530954,2.5218746492
0.02649405,-0.0675093916,2.5212770567
