# a  alpha_M  alpha_B  alpha_T  alpha_K
0.010000  0.00001192  0.00003973  0.00000000  1.00000000
0.013878  0.00003553  0.00011844  0.00000000  1.00000000
0.017755  0.00008078  0.00026925  0.00000000  1.00000000
0.021633  0.00015604  0.00052004  0.00000000  1.00000000
0.025510  0.00027031  0.00090078  0.00000000  1.00000000
0.029388  0.00043314  0.00144318  0.00000000  1.00000000
0.033265  0.00065456  0.00218044  0.00000000  1.00000000
0.037143  0.00094501  0.00314706  0.00000000  1.00000000
0.041020  0.00131530  0.00437856  0.00000000  1.00000000
0.044898  0.00177656  0.00591133  0.00000000  1.00000000
0.048776  0.00234019  0.00778238  0.00000000  1.00000000
0.052653  0.00301783  0.01002909  0.00000000  1.00000000
0.056531  0.00382131  0.01268902  0.00000000  1.00000000
0.060408  0.00476257  0.01579962  0.00000000  1.00000000
0.064286  0.00585366  0.01939799  0.00000000  1.00000000
0.068163  0.00710667  0.02352056  0.00000000  1.00000000
0.072041  0.00853367  0.02820282  0.00000000  1.00000000
0.075918  0.01014665  0.03347900  0.00000000  1.00000000
0.079796  0.01195750  0.03938173  0.00000000  1.00000000
0.083673  0.01397789  0.04594171  0.00000000  1.00000000
0.087551  0.01621928  0.05318737  0.00000000  1.00000000
0.091429  0.01869278  0.06114454  0.00000000  1.00000000
0.095306  0.02140916  0.06983603  0.00000000  1.00000000
0.099184  0.02437873  0.07928135  0.00000000  1.00000000
0.103061  0.02761129  0.08949636  0.00000000  1.00000000
0.106939  0.03111608  0.10049291  0.00000000  1.00000000
0.110816  0.03490170  0.11227856  0.00000000  1.00000000
0.114694  0.03897602  0.12485630  0.00000000  1.00000000
0.118571  0.04334618  0.13822429  0.00000000  1.00000000
0.122449  0.04801846  0.15237563  0.00000000  1.00000000
0.126327  0.05299828  0.16729822  0.00000000  1.00000000
0.130204  0.05829012  0.18297460  0.00000000  1.00000000
0.134082  0.06389745  0.19938189  0.00000000  1.00000000
0.137959  0.06982275  0.21649176  0.00000000  1.00000000
0.141837  0.07606739  0.23427048  0.00000000  1.00000000
0.145714  0.08263169  0.25267899  0.00000000  1.00000000
0.149592  0.08951483  0.27167309  0.00000000  1.00000000
0.153469  0.09671486  0.29120366  0.00000000  1.00000000
0.157347  0.10422869  0.31121691  0.00000000  1.00000000
0.161224  0.11205210  0.33165476  0.00000000  1.00000000
0.165102  0.12017974  0.35245523  0.00000000  1.00000000
0.168980  0.12860514  0.37355286  0.00000000  1.00000000
0.172857  0.13732078  0.39487927  0.00000000  1.00000000
0.176735  0.14631806  0.41636363  0.00000000  1.00000000
0.180612  0.15558742  0.43793325  0.00000000  1.00000000
0.184490  0.16511832  0.45951419  0.00000000  1.00000000
0.188367  0.17489933  0.48103186  0.00000000  1.00000000
0.192245  0.18491823  0.50241160  0.00000000  1.00000000
0.196122  0.19516202  0.52357935  0.00000000  1.00000000
0.200000  0.20561702  0.54446221  0.00000000  1.00000000
0.204040  0.21672043  0.56584229  0.00000000  1.00000000
0.208081  0.22802095  0.58675799  0.00000000  1.00000000
0.212121  0.23950134  0.60713482  0.00000000  1.00000000
0.216162  0.25114397  0.62690225  0.00000000  1.00000000
0.220202  0.26293093  0.64599418  0.00000000  1.00000000
0.224242  0.27484412  0.66434944  0.00000000  1.00000000
0.228283  0.28686539  0.68191212  0.00000000  1.00000000
0.232323  0.29897657  0.69863194  0.00000000  1.00000000
0.236364  0.31115965  0.71446441  0.00000000  1.00000000
0.240404  0.32339681  0.72937105  0.00000000  1.00000000
0.244444  0.33567054  0.74331943  0.00000000  1.00000000
0.248485  0.34796371  0.75628323  0.00000000  1.00000000
0.252525  0.36025964  0.76824211  0.00000000  1.00000000
0.256566  0.37254217  0.77918167  0.00000000  1.00000000
0.260606  0.38479570  0.78909323  0.00000000  1.00000000
0.264646  0.39700530  0.79797364  0.00000000  1.00000000
0.268687  0.40915667  0.80582496  0.00000000  1.00000000
0.272727  0.42123623  0.81265423  0.00000000  1.00000000
0.276768  0.43323116  0.81847307  0.00000000  1.00000000
0.280808  0.44512936  0.82329737  0.00000000  1.00000000
0.284848  0.45691953  0.82714691  0.00000000  1.00000000
0.288889  0.46859114  0.83004494  0.00000000  1.00000000
0.292929  0.48013445  0.83201787  0.00000000  1.00000000
0.296970  0.49154050  0.83309479  0.00000000  1.00000000
0.301010  0.50280109  0.83330718  0.00000000  1.00000000
0.305051  0.51390881  0.83268848  0.00000000  1.00000000
0.309091  0.52485696  0.83127377  0.00000000  1.00000000
0.313131  0.53563959  0.82909940  0.00000000  1.00000000
0.317172  0.54625144  0.82620268  0.00000000  1.00000000
0.321212  0.55668792  0.82262160  0.00000000  1.00000000
0.325253  0.56694511  0.81839451  0.00000000  1.00000000
0.329293  0.57701970  0.81355989  0.00000000  1.00000000
0.333333  0.58690896  0.80815611  0.00000000  1.00000000
0.337374  0.59661073  0.80222122  0.00000000  1.00000000
0.341414  0.60612338  0.79579276  0.00000000  1.00000000
0.345455  0.61544577  0.78890758  0.00000000  1.00000000
0.349495  0.62457721  0.78160173  0.00000000  1.00000000
0.353535  0.63351747  0.77391028  0.00000000  1.00000000
0.357576  0.64226670  0.76586728  0.00000000  1.00000000
0.361616  0.65082544  0.75750562  0.00000000  1.00000000
0.365657  0.65919455  0.74885699  0.00000000  1.00000000
0.369697  0.66737521  0.73995180  0.00000000  1.00000000
0.373737  0.67536889  0.73081917  0.00000000  1.00000000
0.377778  0.68317732  0.72148690  0.00000000  1.00000000
0.381818  0.69080245  0.71198141  0.00000000  1.00000000
0.385859  0.69824646  0.70232780  0.00000000  1.00000000
0.389899  0.70551170  0.69254980  0.00000000  1.00000000
0.393939  0.71260069  0.68266982  0.00000000  1.00000000
0.397980  0.71951610  0.67270894  0.00000000  1.00000000
0.402020  0.72626071  0.66268697  0.00000000  1.00000000
0.406061  0.73283742  0.65262245  0.00000000  1.00000000
0.410101  0.73924923  0.64253269  0.00000000  1.00000000
0.414141  0.74549920  0.63243381  0.00000000  1.00000000
0.418182  0.75159045  0.62234081  0.00000000  1.00000000
0.422222  0.75752617  0.61226757  0.00000000  1.00000000
0.426263  0.76330957  0.60222690  0.00000000  1.00000000
0.430303  0.76894388  0.59223063  0.00000000  1.00000000
0.434343  0.77443236  0.58228961  0.00000000  1.00000000
0.438384  0.77977826  0.57241375  0.00000000  1.00000000
0.442424  0.78498485  0.56261212  0.00000000  1.00000000
0.446465  0.79005536  0.55289296  0.00000000  1.00000000
0.450505  0.79499303  0.54326370  0.00000000  1.00000000
0.454545  0.79980106  0.53373107  0.00000000  1.00000000
0.458586  0.80448264  0.52430108  0.00000000  1.00000000
0.462626  0.80904089  0.51497909  0.00000000  1.00000000
0.466667  0.81347893  0.50576986  0.00000000  1.00000000
0.470707  0.81779983  0.49667757  0.00000000  1.00000000
0.474747  0.82200659  0.48770586  0.00000000  1.00000000
0.478788  0.82610218  0.47885789  0.00000000  1.00000000
0.482828  0.83008954  0.47013632  0.00000000  1.00000000
0.486869  0.83397152  0.46154341  0.00000000  1.00000000
0.490909  0.83775094  0.45308101  0.00000000  1.00000000
0.494949  0.84143055  0.44475059  0.00000000  1.00000000
0.498990  0.84501306  0.43655328  0.00000000  1.00000000
0.503030  0.84850111  0.42848991  0.00000000  1.00000000
0.507071  0.85189729  0.42056099  0.00000000  1.00000000
0.511111  0.85520411  0.41276679  0.00000000  1.00000000
0.515152  0.85842406  0.40510731  0.00000000  1.00000000
0.519192  0.86155953  0.39758235  0.00000000  1.00000000
0.523232  0.86461288  0.39019148  0.00000000  1.00000000
0.527273  0.86758641  0.38293410  0.00000000  1.00000000
0.531313  0.87048234  0.37580945  0.00000000  1.00000000
0.535354  0.87330286  0.36881658  0.00000000  1.00000000
0.539394  0.87605008  0.36195445  0.00000000  1.00000000
0.543434  0.87872608  0.35522186  0.00000000  1.00000000
0.547475  0.88133285  0.34861752  0.00000000  1.00000000
0.551515  0.88387237  0.34214002  0.00000000  1.00000000
0.555556  0.88634652  0.33578789  0.00000000  1.00000000
0.559596  0.88875716  0.32955956  0.00000000  1.00000000
0.563636  0.89110609  0.32345341  0.00000000  1.00000000
0.567677  0.89339506  0.31746775  0.00000000  1.00000000
0.571717  0.89562576  0.31160085  0.00000000  1.00000000
